,年月日,平均気温(℃)
214,2003/8/3,27.5
215,2003/8/4,28.0
216,2003/8/5,26.6
217,2003/8/6,24.7
218,2003/8/7,25.2
219,2003/8/8,26.4
220,2003/8/9,26.5
221,2003/8/10,27.7
222,2003/8/11,27.4
223,2003/8/12,23.9
224,2003/8/13,22.1
225,2003/8/14,18.9
226,2003/8/15,18.9
227,2003/8/16,18.8
228,2003/8/17,19.4
229,2003/8/18,20.3
230,2003/8/19,21.0
231,2003/8/20,22.4
232,2003/8/21,25.6
233,2003/8/22,26.4
234,2003/8/23,27.3
235,2003/8/24,27.2
236,2003/8/25,27.6
237,2003/8/26,26.2
238,2003/8/27,23.0
239,2003/8/28,22.7
240,2003/8/29,26.6
241,2003/8/30,22.8
242,2003/8/31,21.0
243,2003/9/1,20.2
244,2003/9/2,23.8
245,2003/9/3,26.0
246,2003/9/4,23.4
247,2003/9/5,22.1
248,2003/9/6,25.2
249,2003/9/7,20.6
250,2003/9/8,22.3
251,2003/9/9,26.1
252,2003/9/10,27.7
253,2003/9/11,27.4
254,2003/9/12,26.1
255,2003/9/13,27.3
256,2003/9/14,26.0
257,2003/9/15,24.7
258,2003/9/16,22.5
259,2003/9/17,24.2
260,2003/9/18,24.8
261,2003/9/19,25.4
262,2003/9/20,19.3
263,2003/9/21,15.2
264,2003/9/22,14.9
265,2003/9/23,15.6
266,2003/9/24,16.9
267,2003/9/25,16.7
268,2003/9/26,20.1
269,2003/9/27,20.3
270,2003/9/28,19.1
271,2003/9/29,18.5
272,2003/9/30,16.6
273,2003/10/1,17.1
274,2003/10/2,19.5
275,2003/10/3,16.8
276,2003/10/4,15.8
277,2003/10/5,15.5
278,2003/10/6,14.6
279,2003/10/7,15.3
280,2003/10/8,14.7
281,2003/10/9,14.2
282,2003/10/10,15.0
283,2003/10/11,17.0
284,2003/10/12,19.0
285,2003/10/13,20.8
286,2003/10/14,14.2
287,2003/10/15,14.2
288,2003/10/16,14.8
289,2003/10/17,13.1
290,2003/10/18,13.3
291,2003/10/19,14.5
292,2003/10/20,13.7
293,2003/10/21,14.9
294,2003/10/22,15.9
295,2003/10/23,15.9
296,2003/10/24,12.7
297,2003/10/25,13.1
298,2003/10/26,14.6
299,2003/10/27,14.4
300,2003/10/28,14.2
301,2003/10/29,16.3
302,2003/10/30,13.6
303,2003/10/31,13.5
304,2003/11/1,15.2
305,2003/11/2,16.6
306,2003/11/3,15.2
307,2003/11/4,16.0
308,2003/11/5,15.5
309,2003/11/6,15.4
310,2003/11/7,16.3
311,2003/11/8,15.7
312,2003/11/9,13.7
313,2003/11/10,10.3
314,2003/11/11,10.2
315,2003/11/12,12.3
316,2003/11/13,11.3
317,2003/11/14,8.2
318,2003/11/15,11.0
319,2003/11/16,16.6
320,2003/11/17,10.0
321,2003/11/18,7.7
322,2003/11/19,10.6
323,2003/11/20,10.0
324,2003/11/21,15.3
325,2003/11/22,11.8
326,2003/11/23,8.1
327,2003/11/24,9.2
328,2003/11/25,10.7
329,2003/11/26,9.2
330,2003/11/27,8.1
331,2003/11/28,10.4
332,2003/11/29,11.3
333,2003/11/30,14.7
334,2003/12/1,12.2
335,2003/12/2,11.6
336,2003/12/3,6.4
337,2003/12/4,6.6
338,2003/12/5,5.1
339,2003/12/6,8.0
340,2003/12/7,8.8
341,2003/12/8,5.7
342,2003/12/9,5.3
343,2003/12/10,3.9
344,2003/12/11,3.2
345,2003/12/12,5.8
346,2003/12/13,6.7
347,2003/12/14,4.2
348,2003/12/15,4.7
349,2003/12/16,4.4
350,2003/12/17,1.7
351,2003/12/18,5.5
352,2003/12/19,5.9
353,2003/12/20,3.2
354,2003/12/21,3.5
355,2003/12/22,3.6
356,2003/12/23,6.3
357,2003/12/24,5.0
358,2003/12/25,4.9
359,2003/12/26,5.6
360,2003/12/27,0.9
361,2003/12/28,0.6
362,2003/12/29,2.8
363,2003/12/30,6.6
364,2003/12/31,5.1
365,2004/1/1,5.4
366,2004/1/2,7.3
367,2004/1/3,5.8
368,2004/1/4,3.3
369,2004/1/5,2.9
370,2004/1/6,3.1
371,2004/1/7,2.3
372,2004/1/8,2.3
373,2004/1/9,2.1
374,2004/1/10,0.9
375,2004/1/11,3.2
376,2004/1/12,1.5
377,2004/1/13,4.3
378,2004/1/14,2.4
379,2004/1/15,2.7
380,2004/1/16,1.1
381,2004/1/17,1.4
382,2004/1/18,3.7
383,2004/1/19,2.6
384,2004/1/20,4.3
385,2004/1/21,5.4
386,2004/1/22,1.8
387,2004/1/23,2.2
388,2004/1/24,0.5
389,2004/1/25,1.2
390,2004/1/26,1.9
391,2004/1/27,1.7
392,2004/1/28,3.2
393,2004/1/29,4.7
394,2004/1/30,4.3
395,2004/1/31,2.8
396,2004/2/1,3.0
397,2004/2/2,4.1
398,2004/2/3,5.0
399,2004/2/4,3.5
400,2004/2/5,4.1
401,2004/2/6,2.6
402,2004/2/7,2.6
403,2004/2/8,1.7
404,2004/2/9,4.3
405,2004/2/10,1.5
406,2004/2/11,2.0
407,2004/2/12,5.0
408,2004/2/13,4.5
409,2004/2/14,8.6
410,2004/2/15,7.1
411,2004/2/16,4.8
412,2004/2/17,5.5
413,2004/2/18,6.2
414,2004/2/19,5.9
415,2004/2/20,6.3
416,2004/2/21,9.3
417,2004/2/22,12.5
418,2004/2/23,9.7
419,2004/2/24,5.8
420,2004/2/25,8.6
421,2004/2/26,8.8
422,2004/2/27,5.0
423,2004/2/28,4.7
424,2004/2/29,8.4
425,2004/3/1,3.2
426,2004/3/2,2.1
427,2004/3/3,2.6
428,2004/3/4,4.3
429,2004/3/5,3.8
430,2004/3/6,6.2
431,2004/3/7,2.6
432,2004/3/8,3.5
433,2004/3/9,5.6
434,2004/3/10,9.9
435,2004/3/11,14.9
436,2004/3/12,7.4
437,2004/3/13,7.1
438,2004/3/14,7.7
439,2004/3/15,8.9
440,2004/3/16,9.6
441,2004/3/17,14.3
442,2004/3/18,10.9
443,2004/3/19,5.2
444,2004/3/20,3.0
445,2004/3/21,5.1
446,2004/3/22,4.1
447,2004/3/23,5.3
448,2004/3/24,6.2
449,2004/3/25,8.9
450,2004/3/26,8.2
451,2004/3/27,8.2
452,2004/3/28,9.5
453,2004/3/29,13.4
454,2004/3/30,15.3
455,2004/3/31,15.0
456,2004/4/1,12.3
457,2004/4/2,14.4
458,2004/4/3,13.1
459,2004/4/4,5.3
460,2004/4/5,8.0
461,2004/4/6,11.8
462,2004/4/7,14.4
463,2004/4/8,10.0
464,2004/4/9,13.0
465,2004/4/10,14.4
466,2004/4/11,13.8
467,2004/4/12,16.7
468,2004/4/13,9.4
469,2004/4/14,12.0
470,2004/4/15,12.7
471,2004/4/16,15.7
472,2004/4/17,18.0
473,2004/4/18,15.5
474,2004/4/19,17.1
475,2004/4/20,20.4
476,2004/4/21,18.1
477,2004/4/22,19.4
478,2004/4/23,12.2
479,2004/4/24,9.9
480,2004/4/25,11.4
481,2004/4/26,12.6
482,2004/4/27,17.5
483,2004/4/28,13.0
484,2004/4/29,14.3
485,2004/4/30,16.1
486,2004/5/1,15.1
487,2004/5/2,10.7
488,2004/5/3,13.9
489,2004/5/4,20.5
490,2004/5/5,11.7
491,2004/5/6,12.1
492,2004/5/7,16.3
493,2004/5/8,17.4
494,2004/5/9,16.3
495,2004/5/10,17.6
496,2004/5/11,22.6
497,2004/5/12,17.9
498,2004/5/13,20.7
499,2004/5/14,19.8
500,2004/5/15,17.3
501,2004/5/16,17.0
502,2004/5/17,20.2
503,2004/5/18,18.3
504,2004/5/19,16.7
505,2004/5/20,14.9
506,2004/5/21,16.4
507,2004/5/22,11.0
508,2004/5/23,11.8
509,2004/5/24,15.4
510,2004/5/25,16.8
511,2004/5/26,19.8
512,2004/5/27,21.0
513,2004/5/28,21.6
514,2004/5/29,22.6
515,2004/5/30,24.8
516,2004/5/31,24.2
517,2004/6/1,15.4
518,2004/6/2,17.6
519,2004/6/3,16.8
520,2004/6/4,18.6
521,2004/6/5,21.0
522,2004/6/6,19.7
523,2004/6/7,22.1
524,2004/6/8,18.9
525,2004/6/9,16.5
526,2004/6/10,20.4
527,2004/6/11,18.3
528,2004/6/12,19.8
529,2004/6/13,18.9
530,2004/6/14,19.5
531,2004/6/15,22.1
532,2004/6/16,17.5
533,2004/6/17,19.3
534,2004/6/18,24.0
535,2004/6/19,24.9
536,2004/6/20,26.3
537,2004/6/21,25.7
538,2004/6/22,26.9
539,2004/6/23,26.3
540,2004/6/24,26.1
541,2004/6/25,24.8
542,2004/6/26,20.3
543,2004/6/27,21.5
544,2004/6/28,22.5
545,2004/6/29,25.5
546,2004/6/30,24.9
547,2004/7/1,23.2
548,2004/7/2,20.2
549,2004/7/3,19.4
550,2004/7/4,23.5
551,2004/7/5,26.6
552,2004/7/6,27.8
553,2004/7/7,28.1
554,2004/7/8,26.9
555,2004/7/9,27.8
556,2004/7/10,27.2
557,2004/7/11,25.4
558,2004/7/12,23.2
559,2004/7/13,25.1
560,2004/7/14,24.0
561,2004/7/15,23.8
562,2004/7/16,25.3
563,2004/7/17,27.1
564,2004/7/18,27.2
565,2004/7/19,27.3
566,2004/7/20,29.3
567,2004/7/21,29.0
568,2004/7/22,25.6
569,2004/7/23,26.8
570,2004/7/24,28.7
571,2004/7/25,28.6
572,2004/7/26,27.9
573,2004/7/27,27.0
574,2004/7/28,26.3
575,2004/7/29,25.8
576,2004/7/30,26.6
577,2004/7/31,27.1
578,2004/8/1,27.1
579,2004/8/2,26.7
580,2004/8/3,26.4
581,2004/8/4,27.1
582,2004/8/5,27.8
583,2004/8/6,28.5
584,2004/8/7,26.6
585,2004/8/8,26.7
586,2004/8/9,27.2
587,2004/8/10,27.8
588,2004/8/11,25.9
589,2004/8/12,26.1
590,2004/8/13,27.5
591,2004/8/14,27.2
592,2004/8/15,18.3
593,2004/8/16,22.3
594,2004/8/17,23.2
595,2004/8/18,28.3
596,2004/8/19,28.6
597,2004/8/20,29.0
598,2004/8/21,23.7
599,2004/8/22,22.9
600,2004/8/23,20.2
601,2004/8/24,23.7
602,2004/8/25,23.4
603,2004/8/26,22.9
604,2004/8/27,22.2
605,2004/8/28,20.9
606,2004/8/29,19.8
607,2004/8/30,24.8
608,2004/8/31,28.5
609,2004/9/1,26.9
610,2004/9/2,24.4
611,2004/9/3,24.2
612,2004/9/4,22.5
613,2004/9/5,21.1
614,2004/9/6,24.7
615,2004/9/7,27.6
616,2004/9/8,28.5
617,2004/9/9,23.9
618,2004/9/10,22.4
619,2004/9/11,21.6
620,2004/9/12,22.1
621,2004/9/13,24.7
622,2004/9/14,25.9
623,2004/9/15,20.0
624,2004/9/16,18.8
625,2004/9/17,22.4
626,2004/9/18,24.6
627,2004/9/19,26.1
628,2004/9/20,25.0
629,2004/9/21,27.0
630,2004/9/22,23.8
631,2004/9/23,21.7
632,2004/9/24,21.5
633,2004/9/25,22.1
634,2004/9/26,19.5
635,2004/9/27,18.5
636,2004/9/28,20.2
637,2004/9/29,20.7
638,2004/9/30,23.6
639,2004/10/1,18.4
640,2004/10/2,20.5
641,2004/10/3,17.4
642,2004/10/4,16.1
643,2004/10/5,16.2
644,2004/10/6,17.3
645,2004/10/7,16.2
646,2004/10/8,14.9
647,2004/10/9,17.2
648,2004/10/10,17.6
649,2004/10/11,17.8
650,2004/10/12,18.9
651,2004/10/13,17.9
652,2004/10/14,15.2
653,2004/10/15,14.4
654,2004/10/16,12.3
655,2004/10/17,13.1
656,2004/10/18,13.7
657,2004/10/19,14.6
658,2004/10/20,16.8
659,2004/10/21,15.9
660,2004/10/22,16.0
661,2004/10/23,14.2
662,2004/10/24,13.0
663,2004/10/25,15.0
664,2004/10/26,13.5
665,2004/10/27,11.0
666,2004/10/28,8.5
667,2004/10/29,10.5
668,2004/10/30,12.1
669,2004/10/31,17.1
670,2004/11/1,17.6
671,2004/11/2,17.6
672,2004/11/3,17.5
673,2004/11/4,14.6
674,2004/11/5,14.1
675,2004/11/6,15.8
676,2004/11/7,14.6
677,2004/11/8,14.7
678,2004/11/9,13.1
679,2004/11/10,13.7
680,2004/11/11,16.6
681,2004/11/12,16.4
682,2004/11/13,12.8
683,2004/11/14,11.2
684,2004/11/15,10.4
685,2004/11/16,9.9
686,2004/11/17,8.9
687,2004/11/18,10.3
688,2004/11/19,12.1
689,2004/11/20,12.7
690,2004/11/21,11.5
691,2004/11/22,10.8
692,2004/11/23,9.5
693,2004/11/24,9.8
694,2004/11/25,10.2
695,2004/11/26,8.8
696,2004/11/27,12.9
697,2004/11/28,9.0
698,2004/11/29,8.0
699,2004/11/30,6.0
700,2004/12/1,5.5
701,2004/12/2,6.6
702,2004/12/3,5.3
703,2004/12/4,7.2
704,2004/12/5,16.3
705,2004/12/6,8.7
706,2004/12/7,4.9
707,2004/12/8,8.2
708,2004/12/9,8.4
709,2004/12/10,9.9
710,2004/12/11,9.6
711,2004/12/12,6.5
712,2004/12/13,9.6
713,2004/12/14,6.5
714,2004/12/15,8.6
715,2004/12/16,11.4
716,2004/12/17,7.7
717,2004/12/18,6.8
718,2004/12/19,7.1
719,2004/12/20,8.6
720,2004/12/21,8.9
721,2004/12/22,5.8
722,2004/12/23,4.3
723,2004/12/24,3.0
724,2004/12/25,3.5
725,2004/12/26,3.0
726,2004/12/27,3.5
727,2004/12/28,4.2
728,2004/12/29,1.9
729,2004/12/30,0.9
730,2004/12/31,0.1
731,2005/1/1,1.0
732,2005/1/2,-0.1
733,2005/1/3,1.6
734,2005/1/4,6.2
735,2005/1/5,2.2
736,2005/1/6,0.4
737,2005/1/7,4.8
738,2005/1/8,3.2
739,2005/1/9,0.8
740,2005/1/10,1.2
741,2005/1/11,1.2
742,2005/1/12,0.1
743,2005/1/13,3.5
744,2005/1/14,3.3
745,2005/1/15,5.2
746,2005/1/16,5.7
747,2005/1/17,4.8
748,2005/1/18,5.0
749,2005/1/19,4.9
750,2005/1/20,4.1
751,2005/1/21,4.2
752,2005/1/22,3.1
753,2005/1/23,0.8
754,2005/1/24,2.6
755,2005/1/25,4.9
756,2005/1/26,1.0
757,2005/1/27,2.5
758,2005/1/28,3.1
759,2005/1/29,4.4
760,2005/1/30,5.0
761,2005/1/31,3.7
762,2005/2/1,0.9
763,2005/2/2,1.3
764,2005/2/3,2.4
765,2005/2/4,3.8
766,2005/2/5,3.2
767,2005/2/6,3.0
768,2005/2/7,3.1
769,2005/2/8,2.8
770,2005/2/9,3.2
771,2005/2/10,6.4
772,2005/2/11,3.2
773,2005/2/12,2.3
774,2005/2/13,2.1
775,2005/2/14,2.9
776,2005/2/15,5.8
777,2005/2/16,2.9
778,2005/2/17,5.9
779,2005/2/18,4.3
780,2005/2/19,3.4
781,2005/2/20,6.2
782,2005/2/21,3.8
783,2005/2/22,3.8
784,2005/2/23,7.2
785,2005/2/24,3.6
786,2005/2/25,2.2
787,2005/2/26,1.6
788,2005/2/27,1.6
789,2005/2/28,4.4
790,2005/3/1,2.7
791,2005/3/2,3.2
792,2005/3/3,3.0
793,2005/3/4,0.6
794,2005/3/5,2.5
795,2005/3/6,1.4
796,2005/3/7,4.0
797,2005/3/8,7.0
798,2005/3/9,6.7
799,2005/3/10,7.0
800,2005/3/11,7.0
801,2005/3/12,8.3
802,2005/3/13,3.8
803,2005/3/14,2.9
804,2005/3/15,4.2
805,2005/3/16,9.0
806,2005/3/17,10.1
807,2005/3/18,11.5
808,2005/3/19,7.3
809,2005/3/20,4.5
810,2005/3/21,8.5
811,2005/3/22,10.4
812,2005/3/23,9.3
813,2005/3/24,8.6
814,2005/3/25,5.1
815,2005/3/26,5.5
816,2005/3/27,9.2
817,2005/3/28,8.3
818,2005/3/29,9.9
819,2005/3/30,8.1
820,2005/3/31,7.7
821,2005/4/1,8.9
822,2005/4/2,9.2
823,2005/4/3,12.3
824,2005/4/4,5.1
825,2005/4/5,8.5
826,2005/4/6,15.0
827,2005/4/7,18.4
828,2005/4/8,17.3
829,2005/4/9,11.9
830,2005/4/10,15.9
831,2005/4/11,11.1
832,2005/4/12,6.5
833,2005/4/13,7.2
834,2005/4/14,12.0
835,2005/4/15,14.8
836,2005/4/16,12.4
837,2005/4/17,13.9
838,2005/4/18,11.0
839,2005/4/19,11.7
840,2005/4/20,10.8
841,2005/4/21,13.5
842,2005/4/22,12.8
843,2005/4/23,13.7
844,2005/4/24,11.1
845,2005/4/25,13.9
846,2005/4/26,13.4
847,2005/4/27,14.2
848,2005/4/28,18.1
849,2005/4/29,21.2
850,2005/4/30,16.5
851,2005/5/1,18.1
852,2005/5/2,18.4
853,2005/5/3,15.2
854,2005/5/4,16.8
855,2005/5/5,15.7
856,2005/5/6,11.4
857,2005/5/7,13.1
858,2005/5/8,13.1
859,2005/5/9,15.6
860,2005/5/10,16.5
861,2005/5/11,11.7
862,2005/5/12,12.0
863,2005/5/13,10.5
864,2005/5/14,10.9
865,2005/5/15,13.7
866,2005/5/16,12.4
867,2005/5/17,13.8
868,2005/5/18,17.1
869,2005/5/19,20.6
870,2005/5/20,16.6
871,2005/5/21,18.1
872,2005/5/22,18.8
873,2005/5/23,17.4
874,2005/5/24,15.8
875,2005/5/25,14.3
876,2005/5/26,15.0
877,2005/5/27,18.0
878,2005/5/28,18.6
879,2005/5/29,16.1
880,2005/5/30,16.7
881,2005/5/31,17.3
882,2005/6/1,20.1
883,2005/6/2,18.9
884,2005/6/3,17.6
885,2005/6/4,15.6
886,2005/6/5,18.7
887,2005/6/6,18.7
888,2005/6/7,18.0
889,2005/6/8,18.6
890,2005/6/9,20.4
891,2005/6/10,20.5
892,2005/6/11,22.1
893,2005/6/12,23.8
894,2005/6/13,21.1
895,2005/6/14,19.4
896,2005/6/15,18.1
897,2005/6/16,17.8
898,2005/6/17,19.3
899,2005/6/18,20.1
900,2005/6/19,22.7
901,2005/6/20,22.8
902,2005/6/21,23.7
903,2005/6/22,21.5
904,2005/6/23,22.2
905,2005/6/24,24.8
906,2005/6/25,25.6
907,2005/6/26,26.1
908,2005/6/27,25.9
909,2005/6/28,26.8
910,2005/6/29,22.4
911,2005/6/30,23.5
912,2005/7/1,23.6
913,2005/7/2,23.3
914,2005/7/3,19.2
915,2005/7/4,19.7
916,2005/7/5,22.3
917,2005/7/6,20.0
918,2005/7/7,22.8
919,2005/7/8,20.9
920,2005/7/9,19.6
921,2005/7/10,25.1
922,2005/7/11,26.3
923,2005/7/12,19.1
924,2005/7/13,20.3
925,2005/7/14,20.8
926,2005/7/15,25.1
927,2005/7/16,25.4
928,2005/7/17,26.6
929,2005/7/18,27.4
930,2005/7/19,25.4
931,2005/7/20,23.4
932,2005/7/21,25.6
933,2005/7/22,22.3
934,2005/7/23,21.7
935,2005/7/24,22.9
936,2005/7/25,24.9
937,2005/7/26,24.4
938,2005/7/27,27.8
939,2005/7/28,25.8
940,2005/7/29,26.9
941,2005/7/30,27.1
942,2005/7/31,27.3
943,2005/8/1,27.4
944,2005/8/2,27.8
945,2005/8/3,28.5
946,2005/8/4,28.2
947,2005/8/5,28.4
948,2005/8/6,28.5
949,2005/8/7,28.0
950,2005/8/8,26.0
951,2005/8/9,25.7
952,2005/8/10,25.1
953,2005/8/11,25.9
954,2005/8/12,25.6
955,2005/8/13,25.5
956,2005/8/14,27.4
957,2005/8/15,27.1
958,2005/8/16,25.3
959,2005/8/17,24.6
960,2005/8/18,26.0
961,2005/8/19,27.8
962,2005/8/20,28.0
963,2005/8/21,28.3
964,2005/8/22,27.8
965,2005/8/23,26.5
966,2005/8/24,22.9
967,2005/8/25,23.7
968,2005/8/26,26.6
969,2005/8/27,26.0
970,2005/8/28,23.6
971,2005/8/29,24.3
972,2005/8/30,24.5
973,2005/8/31,23.5
974,2005/9/1,24.3
975,2005/9/2,26.1
976,2005/9/3,26.5
977,2005/9/4,24.4
978,2005/9/5,22.7
979,2005/9/6,23.6
980,2005/9/7,27.2
981,2005/9/8,28.1
982,2005/9/9,23.3
983,2005/9/10,25.5
984,2005/9/11,24.5
985,2005/9/12,24.6
986,2005/9/13,26.3
987,2005/9/14,26.7
988,2005/9/15,22.1
989,2005/9/16,19.7
990,2005/9/17,20.1
991,2005/9/18,23.3
992,2005/9/19,25.1
993,2005/9/20,23.0
994,2005/9/21,22.3
995,2005/9/22,21.3
996,2005/9/23,23.6
997,2005/9/24,21.4
998,2005/9/25,19.9
999,2005/9/26,20.3
1000,2005/9/27,18.5
1001,2005/9/28,18.4
1002,2005/9/29,18.1
1003,2005/9/30,17.9
1004,2005/10/1,20.0
1005,2005/10/2,22.9
1006,2005/10/3,21.7
1007,2005/10/4,18.0
1008,2005/10/5,17.9
1009,2005/10/6,18.1
1010,2005/10/7,20.0
1011,2005/10/8,21.9
1012,2005/10/9,18.0
1013,2005/10/10,17.2
1014,2005/10/11,18.4
1015,2005/10/12,17.9
1016,2005/10/13,17.2
1017,2005/10/14,19.5
1018,2005/10/15,20.8
1019,2005/10/16,18.0
1020,2005/10/17,16.8
1021,2005/10/18,15.7
1022,2005/10/19,16.1
1023,2005/10/20,16.5
1024,2005/10/21,17.2
1025,2005/10/22,15.0
1026,2005/10/23,14.5
1027,2005/10/24,15.0
1028,2005/10/25,14.9
1029,2005/10/26,13.4
1030,2005/10/27,13.3
1031,2005/10/28,14.8
1032,2005/10/29,15.3
1033,2005/10/30,15.2
1034,2005/10/31,12.2
1035,2005/11/1,9.3
1036,2005/11/2,10.7
1037,2005/11/3,12.4
1038,2005/11/4,12.9
1039,2005/11/5,13.8
1040,2005/11/6,13.3
1041,2005/11/7,16.3
1042,2005/11/8,14.9
1043,2005/11/9,11.0
1044,2005/11/10,9.8
1045,2005/11/11,9.3
1046,2005/11/12,11.1
1047,2005/11/13,8.9
1048,2005/11/14,9.4
1049,2005/11/15,8.8
1050,2005/11/16,7.2
1051,2005/11/17,5.2
1052,2005/11/18,5.7
1053,2005/11/19,6.0
1054,2005/11/20,5.3
1055,2005/11/21,4.7
1056,2005/11/22,7.0
1057,2005/11/23,7.5
1058,2005/11/24,9.1
1059,2005/11/25,7.9
1060,2005/11/26,8.9
1061,2005/11/27,8.1
1062,2005/11/28,8.8
1063,2005/11/29,9.5
1064,2005/11/30,7.9
1065,2005/12/1,4.1
1066,2005/12/2,4.7
1067,2005/12/3,4.5
1068,2005/12/4,4.4
